Time,BasePrice,USDPrice,24Hr USD Volume
2017-11-16 01:45:14.872960,0.04638267,332.8689418686,34715117.84656076
2017-11-16 01:46:15.140523,0.04638876,332.9126472408,34727720.71218694
2017-11-16 01:47:15.410683,0.04638876,332.9126472408,34720161.896125376
2017-11-16 01:48:15.776567,0.04639998,332.9931684684,34715857.432816245
2017-11-16 01:49:16.027560,0.04638876,332.9126472408,34727352.48882842
2017-11-16 01:50:16.409610,0.04629794,332.4108755708,34717402.56047359
2017-11-16 01:51:16.816899,0.04642996,333.35875540719996,34749375.09919633
2017-11-16 01:52:17.302148,0.04629794,332.4108755708,34735743.58283568
2017-11-16 01:53:17.717204,0.0462266,331.89866721199996,34621417.52220567
2017-11-16 01:54:17.978403,0.0462,331.707684,34620816.06638674
2017-11-16 01:55:18.218772,0.046189,333.1935893,34762014.55488581
2017-11-16 01:56:19.468632,0.0462,333.27294,34734744.19929374
2017-11-16 01:57:20.474012,0.046189,333.1935893,34747938.73727847
2017-11-16 01:58:20.758041,0.04610202,332.566141674,34753193.381534144
2017-11-16 01:59:21.077943,0.04604774,332.174582038,34750765.815019
2017-11-16 02:00:21.482290,0.04605799,331.7598471891,34690482.98676856
2017-11-16 02:01:21.763937,0.04604774,331.6860155166,34670952.66043114
2017-11-16 02:02:22.036642,0.04594906,330.9752145954,34655510.96752616
2017-11-16 02:03:22.325120,0.04605799,331.7598471891,34650025.961218104
2017-11-16 02:04:22.626956,0.04605799,331.7598471891,34625796.223138995
2017-11-16 02:05:23.040568,0.04605799,331.5465986954,34585578.73871265
2017-11-16 02:06:23.316652,0.04614208,332.1519171968,34563160.57293504
2017-11-16 02:07:23.569210,0.04614208,332.1519171968,34558491.80114708
2017-11-16 02:08:24.033076,0.046189,332.48966894,34542382.860175684
2017-11-16 02:09:24.464058,0.046189,332.48966894,34535695.8642198
2017-11-16 02:10:24.723786,0.046189,332.3991385,34509381.02855723
2017-11-16 02:11:25.324114,0.04591031,330.393545915,34496120.02102349
2017-11-16 02:12:25.577690,0.046189,332.3991385,34484379.46942776
2017-11-16 02:13:25.902998,0.046189,332.3991385,34476057.6123504
2017-11-16 02:14:26.425707,0.046189,332.87165196999996,34518595.79690774
2017-11-16 02:15:26.672852,0.046,331.50957999999997,34464750.69425457
2017-11-16 02:16:27.052004,0.04591203,330.87560396189997,34427525.56134906
2017-11-16 02:17:27.598740,0.04594203,331.0918058619,34427374.07480344
2017-11-16 02:18:28.405957,0.046,331.50957999999997,34418684.77717265
2017-11-16 02:19:28.885873,0.04600005,331.5099403365,34414475.099960394
2017-11-16 02:20:29.164463,0.04600002,330.942543888,34313025.10195217
2017-11-16 02:21:29.448999,0.04600004,330.94268777599996,34263814.982705615
2017-11-16 02:22:29.687424,0.04600003,330.94261583199994,34238617.81615642
2017-11-16 02:23:29.956998,0.04600003,330.94261583199994,34222817.85769044
2017-11-16 02:24:30.468645,0.04606928,331.44082803199996,34232368.79305094
2017-11-16 02:25:30.969200,0.04600003,330.88879579689996,34199678.62369084
2017-11-16 02:26:31.218746,0.04607,331.3921061,34176377.80264324
2017-11-16 02:27:31.611569,0.04628345,332.92750104349994,34181118.028135665
2017-11-16 02:28:31.998844,0.04606929,331.38699890669994,34167095.30085998
2017-11-16 02:29:32.352351,0.04627879,332.8939805917,34163935.31772634
2017-11-16 02:30:32.592899,0.04610204,331.19475025799994,34120559.985248566
2017-11-16 02:31:32.871832,0.04610205,331.1948220975,34113295.971706286
2017-11-16 02:32:39.864248,0.04628318,332.496050961,34077966.66739585
2017-11-16 02:33:40.114649,0.04610205,331.1948220975,34001681.27160439
2017-11-16 02:34:40.533171,0.04619994,331.898058963,33934306.86901661
2017-11-16 02:35:40.786665,0.04606929,331.5381061779,33916951.153438576
2017-11-16 02:36:41.295905,0.04606929,331.5381061779,33916923.83116871
2017-11-16 02:37:41.500502,0.04606929,331.5381061779,33936677.45108269
2017-11-16 02:38:41.758845,0.0459,330.319809,33914334.61920193
2017-11-16 02:39:42.007272,0.04577364,329.4104579964,33908923.370754324
2017-11-16 02:40:42.285236,0.04602099,331.8812898048,33993701.08700821
2017-11-16 02:41:42.609464,0.04606341,332.1872024832,33995011.765047096
2017-11-16 02:42:43.199290,0.04606342,332.18727459840005,33988157.93023718
2017-11-16 02:43:43.590689,0.04606342,332.18727459840005,33924862.38436554
2017-11-16 02:44:43.848539,0.0459,331.00876800000003,33899863.98374623
2017-11-16 02:45:44.340341,0.04610352,332.96054351040004,34029293.03145985
2017-11-16 02:46:44.734135,0.04614982,333.2949230364,34024100.70291024
2017-11-16 02:47:44.991733,0.045891,331.42571982000004,34015371.17802711
2017-11-16 02:48:45.210293,0.04570352,330.0717355104,33996356.40252795
2017-11-16 02:49:45.613349,0.04561244,329.4139539288,34266926.77337877
2017-11-16 02:50:45.883351,0.04606318,332.7977234958,34638105.21665203
2017-11-16 02:51:46.160955,0.0456807,330.034378167,34647303.54094077
2017-11-16 02:52:46.434327,0.04568074,330.0346671594,34669935.591835245
2017-11-16 02:53:46.683315,0.04568073,330.0345949113,34729429.00041256
2017-11-16 02:54:46.980529,0.04568074,330.0346671594,34731769.38932488
2017-11-16 02:55:47.411554,0.04560128,329.37850145280004,34677876.074143104
2017-11-16 02:56:47.646476,0.04568074,329.9524418274,34681805.65948455
2017-11-16 02:57:47.915934,0.04568074,329.9524418274,34680249.91825759
2017-11-16 02:58:48.280728,0.0456,329.369256,34618731.7897646
2017-11-16 02:59:48.563658,0.04568073,329.95236959730005,34243859.89404577
