Time,USDPrice
2017-11-17T01:18:00.013,328.3482818
2017-11-17T01:18:57.5,328.3482818
2017-11-17T01:20:03.11,327.40291977469997
2017-11-17T01:20:53.643,327.72817000000003
2017-11-17T01:22:03.19,327.72817000000003
2017-11-17T01:22:59.99,327.88803740000003
2017-11-17T01:23:56.773,329.8545662874
2017-11-17T01:25:01.15,330.1431420485
2017-11-17T01:26:00.59,328.05084452250003
2017-11-17T01:27:02.073,330.11134154900003
2017-11-17T01:28:07.793,331.3945992995
2017-11-17T01:29:01.42,329.0517234015
2017-11-17T01:29:59.673,328.374724895
2017-11-17T01:31:01.893,329.746311629
2017-11-17T01:31:53.63,328.554695
2017-11-17T01:32:58.88,330.156865948
2017-11-17T01:33:31.663,328.554695
2017-11-17T01:34:52.087,328.4989125
2017-11-17T01:35:58.51,328.4989125
2017-11-17T01:36:55.2,328.3366141282
2017-11-17T01:37:58.747,327.5897071463
2017-11-17T01:38:56.36,328.49883286389996
2017-11-17T01:39:51.64,327.5987060256
2017-11-17T01:40:58.877,328.496483
2017-11-17T01:41:57.58,328.496483
2017-11-17T01:43:02.38,328.496483
2017-11-17T01:44:00.913,328.1165247193
2017-11-17T01:44:57.007,330.04749545
2017-11-17T01:45:52.917,328.608930892
2017-11-17T01:46:59.76,330.17424631
2017-11-17T01:47:53.793,330.67030256
2017-11-17T01:49:03.343,331.54256786999997
2017-11-17T01:49:54.813,328.76697
2017-11-17T01:50:59.61,328.120552641
2017-11-17T01:52:01.033,327.28578413300005
2017-11-17T01:52:55.05,327.4030207
2017-11-17T01:54:02.647,329.335965497
2017-11-17T01:54:51.617,330.6605610077
2017-11-17T01:56:01.603,330.08935615810003
2017-11-17T01:56:54.683,330.6433837
2017-11-17T01:58:01.45,330.0895144743
2017-11-17T01:58:58.047,330.5641464419
2017-11-17T02:00:01.953,329.41995840000004
2017-11-17T02:01:01.3,329.18432011199997
2017-11-17T02:02:01.113,330.1433718912
2017-11-17T02:02:59.753,332.458389792
2017-11-17T02:03:58.27,331.55136000000005
2017-11-17T02:04:52.837,330.2753520305
2017-11-17T02:05:55.587,330.7282614753
2017-11-17T02:06:55.48,330.899906
2017-11-17T02:07:01.697,330.89206477
2017-11-17T02:08:59.327,331.3168241991
2017-11-17T02:09:54.013,331.1774010963
2017-11-17T02:10:56.657,330.2470079433
2017-11-17T02:12:02.36,329.2040583819
2017-11-17T02:13:00.707,328.95864465299996
2017-11-17T02:13:55.003,328.95864465299996
2017-11-17T02:14:57.567,328.021071118
2017-11-17T02:15:53.053,329.557278466
2017-11-17T02:17:00.117,329.770862918
2017-11-17T02:17:56.79,330.529236808
2017-11-17T02:18:58.027,331.53140456
2017-11-17T02:20:01.153,329.29668822599996
2017-11-17T02:20:55.013,327.655379871
2017-11-17T02:22:00.84,327.6500061924
2017-11-17T02:23:00.687,328.9596261828
2017-11-17T02:23:56.983,327.5102126694
2017-11-17T02:25:02.893,331.4384310385
2017-11-17T02:26:02.58,331.01677881349997
2017-11-17T02:26:55.44,331.0167
2017-11-17T02:27:55.02,331.0167
2017-11-17T02:29:01.71,331.0167
2017-11-17T02:29:59.757,332.22373100699997
2017-11-17T02:31:01.917,332.22373100699997
2017-11-17T02:31:58.667,333.01125757619997
2017-11-17T02:32:57.747,331.2473119662
2017-11-17T02:33:57.06,329.645839194
2017-11-17T02:34:59.747,332.3411955465
2017-11-17T02:36:02.28,329.4484559846
2017-11-17T02:37:00.233,329.4484559846
2017-11-17T02:37:58.877,329.59581119999996
2017-11-17T02:39:02.52,329.6782101528
2017-11-17T02:40:00.847,329.678289079
2017-11-17T02:40:53.897,328.78751781
2017-11-17T02:42:03.803,329.49066063000004
2017-11-17T02:43:02.1,330.89072028000004
2017-11-17T02:44:01.96,330.3108363
2017-11-17T02:45:02.9,331.00192119
2017-11-17T02:45:48.947,331.5913389503
2017-11-17T02:46:58.607,331.70968544999994
2017-11-17T02:48:00.637,331.775214199
2017-11-17T02:49:00.78,331.7491606
2017-11-17T02:49:59.06,331.065138
2017-11-17T02:50:57.97,330.4361142378
2017-11-17T02:51:41.69,330.671949
2017-11-17T02:52:58.8,330.4367433402
2017-11-17T02:54:01.787,332.03474207399995
2017-11-17T02:54:55.1,331.0019135507
2017-11-17T02:55:48.85,331.0019135507
2017-11-17T02:56:59.35,331.00199232299997
2017-11-17T02:57:52.01,332.4031152231
2017-11-17T02:59:01.4,331.0064035718
2017-11-17T02:59:58.87,334.5897549352
2017-11-17T03:01:01.137,333.36761240559997
2017-11-17T03:02:01.967,333.2890868926
2017-11-17T03:03:01.843,333.20992683
2017-11-17T03:03:46.11,333.20992683
2017-11-17T03:04:56.983,332.27186586
2017-11-17T03:05:58.363,332.20068000000003
2017-11-17T03:06:56.893,332.3638538102
2017-11-17T03:07:59.707,331.0582260424
2017-11-17T03:08:49.66,332.2007590954
2017-11-17T03:09:46.617,333.53173941229994
2017-11-17T03:10:55.913,332.1022386
2017-11-17T03:11:51.76,332.737537
2017-11-17T03:13:03.273,332.737537
2017-11-17T03:13:58.777,332.08484730629993
2017-11-17T03:14:53.603,332.768543
2017-11-17T03:15:59.607,332.1402537533
2017-11-17T03:16:57.12,333.11798968000005
2017-11-17T03:17:51.793,333.1179102603
2017-11-17T03:18:54.81,332.05257440450004
2017-11-17T03:20:00.577,332.4236662992
2017-11-17T03:20:55.97,333.4416918528
2017-11-17T03:22:01.657,332.4236662992
2017-11-17T03:22:56.953,332.4245408916
2017-11-17T03:23:51.91,332.4245408916
2017-11-17T03:24:59.393,332.6369356408
2017-11-17T03:25:54.753,332.62269454399996
2017-11-17T03:26:46.94,332.46198496
2017-11-17T03:28:01.677,330.6769151896
2017-11-17T03:28:59.57,330.9474164696
2017-11-17T03:29:52.803,333.12852503
2017-11-17T03:30:59.65,333.169963882
2017-11-17T03:31:54.727,333.00898988
2017-11-17T03:33:01.773,333.169963882
